Script started on 2025-12-21 21:59:53+03:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="80" LINES="23"]
]0;ubuntu2@codeby: ~[01;32mubuntu2@codeby[00m:[01;34m~[00m$ ps aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         592  0.0  0.1  12224  5812 ?        Ss   18:20   0:00 sshd: /usr/sb
root         597  0.0  0.6 124672 21076 ?        Ssl  18:20   0:00 /usr/bin/pyth
root         603  0.0  0.2 248796  7936 ?        Ssl  18:20   0:00 /usr/sbin/gdm
root         631  0.0  0.2  39452  7856 ?        Ss   18:20   0:00 /usr/sbin/cup
lp           637  0.0  0.1  15336  5316 ?        S    18:20   0:00 /usr/lib/cups
whoopsie     661  0.0  0.4 328848 14028 ?        Ssl  18:20   0:00 /usr/bin/whoo
kernoops     667  0.0  0.0  11468  1904 ?        Ss   18:20   0:00 /usr/sbin/ker
kernoops     680  0.0  0.0  11468  1980 ?        Ss   18:20   0:00 /usr/sbin/ker
rtkit        704  0.0  0.0 152516  2508 ?        SNsl 18:20   0:00 /usr/libexec/
root         794  0.0  0.2 261488  8684 ?        Ssl  18:20   0:00 /usr/lib/upow
colord      1071  0.0  0.5 257936 15496 ?        Ssl  18:20   0:00 /usr/libexec/
root        1083  0.0  0.0   6852  2792 ?        Ss   18:20   0:00 /usr/sbin/spi
root        1093  0.0  0.0  16320  1880 ?        Ss+  18:20   0:00 /sbin/agetty 
root        1135  0.0  0.3 325424  9276 ?        Sl   18:20   0:00 gdm-session-w
ubuntu2     1140  0.0  0.5  29012 16456 ?        Ss   18:20   0:00 /lib/systemd/
ubuntu2     1141  0.0  0.1 104396  5104 ?        S    18:20   0:00 (sd-pam)
ubuntu2     1146  0.0  0.5 1490772 17868 ?       S<sl 18:20   0:00 /usr/bin/puls
ubuntu2     1148  0.0  0.7 594796 23136 ?        SNsl 18:20   0:00 /usr/libexec/
ubuntu2     1151  0.0  0.2 248972  7112 ?        Sl   18:20   0:00 /usr/bin/gnom
ubuntu2     1156  0.0  0.2  10992  6888 ?        Ss   18:20   0:00 /usr/bin/dbus
ubuntu2     1158  0.0  0.2 322420  7068 ?        Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1163  0.0  0.2 381900  7472 ?        Sl   18:20   0:00 /usr/libexec/
ubuntu2     1170  0.0  0.3 326008 10332 ?        Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1190  0.0  0.2 325856  7824 ?        Ssl  18:20   0:02 /usr/libexec/
ubuntu2     1195  0.0  0.1 244592  5848 ?        Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1200  0.0  0.1 244704  5776 ?        Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1204  0.0  1.0 560980 31848 ?        Sl   18:20   0:00 /usr/libexec/
ubuntu2     1212  0.0  0.3 327268 10176 ?        Sl   18:20   0:00 /usr/libexec/
ubuntu2     1217  0.0  0.2 246568  6308 ?        Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1231  0.0  0.1 172788  6024 tty2     Ssl+ 18:20   0:00 /usr/lib/gdm3
ubuntu2     1233  0.0  3.0 501444 93348 tty2     Sl+  18:20   0:10 /usr/lib/xorg
ubuntu2     1246  0.0  0.4 199292 13472 tty2     Sl+  18:20   0:00 /usr/libexec/
ubuntu2     1313  0.0  0.0   5284   436 ?        Ss   18:20   0:00 /usr/bin/ssh-
ubuntu2     1332  0.0  0.2 309792  8444 ?        Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1337  0.0  0.1   7940  3704 ?        S    18:20   0:00 /usr/bin/dbus
